IdDocumento,entrada,introduccion,planteamiento,objetivos,marco_teorico,desarrollo,resultado,conclusiones,referencias,Secciones presentes,diagnostivo
12,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio.,1,1,1,1,0,0,0,0,4,deficiente
13,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,1,1,1,1,8,correcto
14,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,0,1,1,1,7,incompleto
15,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo.,1,1,1,1,0,1,1,0,6,incompleto
16,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,0,1,0,1,1,6,incompleto
17,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis.,1,1,0,1,1,1,0,0,5,incompleto
18,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,0,1,1,0,1,1,1,6,incompleto
19,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,0,1,1,1,1,7,incompleto
20,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,0,0,1,1,1,6,incompleto
21,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo.,1,1,1,1,0,0,1,0,5,incompleto
22,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo.,1,1,1,1,0,0,1,0,5,incompleto
23,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,1,0,1,1,7,incompleto
24,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio.,1,1,1,1,0,0,0,0,4,deficiente
25,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto.,1,1,1,1,1,0,0,0,5,incompleto
26,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,1,1,1,1,8,correcto
27,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,1,0,1,1,7,incompleto
28,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,0,1,1,1,7,incompleto
29,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,0,0,1,1,6,incompleto
30,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,0,0,1,1,1,6,incompleto
31,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,0,0,1,1,1,6,incompleto
32,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,0,1,0,1,0,1,5,incompleto
33,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo.,1,1,1,1,1,1,1,0,7,incompleto
34,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,0,1,0,0,0,1,1,4,deficiente
35,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,0,0,1,1,6,incompleto
36,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,1,1,1,1,8,correcto
37,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo.,1,1,1,0,0,0,1,0,4,deficiente
38,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio.,1,1,1,1,0,0,0,0,4,deficiente
39,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo.,1,1,1,1,1,1,1,0,7,incompleto
40,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,0,1,1,0,1,1,6,incompleto
41,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo.,1,1,0,1,1,1,1,0,6,incompleto
42,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,0,1,1,0,1,6,incompleto
43,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo.,1,1,1,1,1,1,1,0,7,incompleto
44,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,0,0,1,0,1,5,incompleto
45,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,1,0,1,1,7,incompleto
46,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,1,1,1,1,8,correcto
47,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,0,0,1,1,6,incompleto
48,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo.,1,1,1,1,1,0,1,0,6,incompleto
49,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,0,1,0,1,1,1,6,incompleto
50,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,1,1,1,1,8,correcto
51,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,1,1,1,1,8,correcto
52,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo.,1,1,0,0,1,1,1,0,5,incompleto
53,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,1,1,1,1,8,correcto
54,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,0,1,0,0,1,1,5,incompleto
55,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,1,1,1,0,0,1,1,6,incompleto
56,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | PLANTEAMIENTO DEL PROBLEMA: Se plantea el problema central que aborda el proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo.,1,1,1,1,1,0,1,0,6,incompleto
57,INTRODUCCION: En este documento se presenta el contexto y la motivaciÃ³n del proyecto. | OBJETIVOS: El objetivo general es implementar el sistema descrito. | MARCO TEORICO: Se revisan conceptos y teorÃ­as relevantes para el estudio. | DESARROLLO: Se detalla la metodologÃ­a y la implementaciÃ³n del proyecto. | RESULTADO: Se muestran los resultados obtenidos y su anÃ¡lisis. | CONCLUSIONES: Se discuten las conclusiones y aportes del trabajo. | REFERENCIAS: Se listan las fuentes y bibliografÃ­a consultada.,1,0,1,1,1,1,1,1,7,incompleto
